strategy,n,shell_compromise_rate_mean,shell_compromise_rate_ci95,core_breached_mean,core_breached_ci95,recovery_downtime_mean,recovery_downtime_ci95,compromise_exposure_cost_mean,compromise_exposure_cost_ci95,total_operational_cost_mean,total_operational_cost_ci95,recovery_count_mean,recovery_count_ci95,mean_collapse_index_mean,mean_collapse_index_ci95,reinfections_mean,reinfections_ci95,mean_gluing_inconsistency_mean,mean_gluing_inconsistency_ci95
ghost_d8,120,0.31853125,0.003604047709982948,0.35833333333333334,0.08615508891763288,49.604166666666664,0.7758333333333333,20.385999999999992,0.23065905343890813,105.8235,8.793808252530111,19.841666666666665,0.3103333333333333,0.31614904473572186,0.002415354840660137,17.441666666666666,0.4256869342757325,0.26273693030159495,0.0024380249263333247
ghost_e8,120,0.33231249999999996,0.004720035245693429,0.36666666666666664,0.08658336871802859,50.416666666666664,0.8248608518026548,21.267999999999997,0.30208225572437886,108.35133333333333,8.692374725525937,20.166666666666668,0.32994434072106194,0.31657891280594797,0.0029002523813649052,18.058333333333334,0.4547155470820961,0.26629330044553057,0.0027808458246866437
ghost_random,120,0.33383333333333337,0.0036370282300808754,0.35,0.0856985139551302,50.979166666666664,0.7522871716054259,21.36533333333333,0.2327698067251756,107.34449999999997,8.71656901675037,20.391666666666666,0.3009148686421703,0.31825370025487076,0.002551766133368939,18.45,0.402329588818938,0.26780600962176837,0.0025874252066883153
random_e8,120,0.2841458333333334,0.002874413104347467,0.325,0.08415427010241719,61.3125,0.844260539077326,18.185333333333336,0.18396243867823733,111.99783333333333,8.60450413545602,24.525,0.33770421563093045,0.3482864808843354,0.00246468508331197,22.958333333333332,0.3979905818835087,0.25515501067086305,0.0023189392783360707
single_rollback,120,0.299625,0.002234766404426409,0.275,0.08022651754655102,109.625,1.4294656549996327,19.176,0.14302504988328968,156.301,8.355519462864406,43.85,0.571786261999853,0.42783779176126824,0.001543461910930112,42.833333333333336,0.5716372541453166,0.2765328900251369,0.0017484332858926786
static,120,0.9738958333333334,0.0019616256534436853,0.9333333333333333,0.04481829691724232,0.0,0.0,62.32933333333337,0.12554404182039589,155.6626666666667,4.4739451788437625,0.0,0.0,0.6885401365752137,0.0008409515427404098,0.0,0.0,0.021821211139393646,0.0013696578503753331
