strategy,seed,shell_compromise_rate,core_breached,recovery_downtime,compromise_exposure_cost,total_operational_cost,recovery_count,mean_collapse_index,reinfections,mean_gluing_inconsistency
ghost_random,20261631,0.315,0,42.5,20.15999999999999,62.65999999999999,17,0.31585326018942256,12,0.2812019454776516
static,20261732,0.97,1,0.0,62.08000000000004,162.08000000000004,0,0.6872371711648039,0,0.023632708828657437
single_rollback,20261732,0.3075,1,115.0,19.679999999999993,234.68,46,0.43277874341626954,45,0.2782759441230288
random_e8,20261732,0.26375,0,50.0,16.880000000000006,66.88000000000001,20,0.3430422929037816,19,0.24352915680455847
ghost_e8,20261732,0.315,0,42.5,20.159999999999993,62.66,17,0.3159110692696813,15,0.2639291779490842
ghost_d8,20261732,0.30125,0,50.0,19.279999999999994,69.28,20,0.30644139852650154,18,0.2600372088727487
ghost_random,20261732,0.31625,0,47.5,20.24,67.74,19,0.2972256270232085,17,0.23814961543714225
static,20261833,0.985,1,0.0,63.04000000000004,163.04000000000005,0,0.6911311796509413,0,0.013992528116612259
single_rollback,20261833,0.32125,1,120.0,20.55999999999999,240.56,48,0.4450298201813041,47,0.2986522161807128
random_e8,20261833,0.28875,1,67.5,18.479999999999997,185.98,27,0.36470042742685593,26,0.27092332347558956
ghost_e8,20261833,0.37125,1,57.5,23.759999999999987,181.26,23,0.33893300889527433,20,0.2918693103399709
ghost_d8,20261833,0.32125,1,55.0,20.559999999999995,175.56,22,0.3201077599953442,20,0.27077786117919156
ghost_random,20261833,0.34125,1,50.0,21.83999999999999,171.83999999999997,20,0.3258065546185943,19,0.2742324196103289
static,20261934,0.97,1,0.0,62.08000000000004,162.08000000000004,0,0.6800220910205189,0,0.01460504858594438
single_rollback,20261934,0.3025,0,107.5,19.359999999999992,126.85999999999999,43,0.42583153986259165,42,0.280037551015637
random_e8,20261934,0.26875,1,57.5,17.200000000000003,174.7,23,0.34086752606989734,22,0.25968216493365975
ghost_e8,20261934,0.34125,0,42.5,21.84,64.34,17,0.3089641290389399,15,0.26013962677722047
ghost_d8,20261934,0.33625,0,50.0,21.519999999999992,71.52,20,0.32270443056069276,18,0.26098211488924017
ghost_random,20261934,0.355,0,50.0,22.71999999999999,72.72,20,0.3287036907695328,18,0.2784857997432537
static,20262035,0.9775,1,0.0,62.560000000000045,162.56000000000006,0,0.6934311368168201,0,0.02496989986013703
single_rollback,20262035,0.30625,0,105.0,19.599999999999994,124.6,42,0.4332311882522755,41,0.2773356056538317
random_e8,20262035,0.3,1,65.0,19.200000000000003,184.2,26,0.3645884522272137,25,0.26639103101963046
ghost_e8,20262035,0.3175,0,50.0,20.319999999999997,70.32,20,0.30267023466849297,19,0.25543000923828063
ghost_d8,20262035,0.325,0,50.0,20.799999999999986,70.79999999999998,20,0.31927518415082534,18,0.25519683720623954
ghost_random,20262035,0.3475,1,60.0,22.240000000000002,182.24,24,0.3191998516033161,23,0.26675726595225785
static,20262136,0.96625,1,0.0,61.840000000000046,161.84000000000003,0,0.6879119096952246,0,0.027249621042102636
single_rollback,20262136,0.30625,0,117.5,19.59999999999999,137.1,47,0.43472699634125417,46,0.2822831372741598
random_e8,20262136,0.2925,0,65.0,18.72,83.72,26,0.3599837036352352,25,0.2604076189658714
ghost_e8,20262136,0.29125,0,45.0,18.64,63.64,18,0.295273873714269,15,0.2462163407178096
ghost_d8,20262136,0.34125,1,47.5,21.83999999999999,169.33999999999997,19,0.3357816277326458,17,0.26531499288014215
ghost_random,20262136,0.27875,0,42.5,17.84,60.34,17,0.2751254599971176,14,0.22228101159560068
static,20262237,0.9675,1,0.0,61.920000000000044,161.92000000000004,0,0.6858381913037042,0,0.021637652057703405
single_rollback,20262237,0.2925,0,110.0,18.719999999999995,128.72,44,0.4243553498604614,43,0.2763099886492449
random_e8,20262237,0.2925,1,60.0,18.72,178.72,24,0.3546942218757443,23,0.2591755190699374
ghost_e8,20262237,0.31375,1,45.0,20.08,165.07999999999998,18,0.32094508842133607,16,0.2778433511909158
ghost_d8,20262237,0.30375,1,47.5,19.439999999999994,166.94,19,0.3185359552516127,15,0.2756218664300793
ghost_random,20262237,0.34375,0,52.5,21.999999999999982,74.49999999999999,21,0.32536308831072985,19,0.27629885966759093
static,20262338,0.955,1,0.0,61.12000000000004,161.12000000000003,0,0.6824113168214357,0,0.030608694066606094
single_rollback,20262338,0.275,0,107.5,17.6,125.1,43,0.41182146265174957,42,0.2630592216918448
random_e8,20262338,0.31375,1,57.5,20.079999999999995,177.57999999999998,23,0.3615268030211205,21,0.2635510283434328
ghost_e8,20262338,0.3625,0,57.5,23.199999999999985,80.69999999999999,23,0.32840893049025544,22,0.26109966174896304
ghost_d8,20262338,0.34,0,55.0,21.76,76.76,22,0.3305510157271793,21,0.259984915523797
ghost_random,20262338,0.32125,0,50.0,20.559999999999995,70.56,20,0.3017481905627632,19,0.24666320704545502
static,20262439,0.98125,1,0.0,62.80000000000005,162.80000000000004,0,0.6858415358570746,0,0.0172888844368828
single_rollback,20262439,0.2875,0,102.5,18.4,120.9,41,0.4115584312338505,40,0.26144217262132285
random_e8,20262439,0.28,0,65.0,17.92,82.92,26,0.3434894836732877,25,0.2500872749354116
ghost_e8,20262439,0.325,1,50.0,20.799999999999994,170.8,20,0.309285311779622,19,0.2593447026988413
ghost_d8,20262439,0.32375,0,50.0,20.72,70.72,20,0.3202606102403957,18,0.26886964296881183
ghost_random,20262439,0.34125,0,50.0,21.839999999999986,71.83999999999999,20,0.3245291348480769,17,0.25978826440756286
static,20262540,0.9675,1,0.0,61.920000000000044,161.92000000000004,0,0.6892185713570642,0,0.027414018960371128
single_rollback,20262540,0.3,0,107.5,19.2,126.7,43,0.43096844082914454,42,0.27876337083633396
random_e8,20262540,0.27625,0,55.0,17.68,72.68,22,0.3315375481054106,20,0.23959128545313246
ghost_e8,20262540,0.3075,0,55.0,19.679999999999996,74.67999999999999,22,0.302826337760619,19,0.26045503282362564
ghost_d8,20262540,0.3075,1,55.0,19.679999999999993,174.68,22,0.31141386085455924,19,0.2668268359115191
ghost_random,20262540,0.3675,0,50.0,23.519999999999985,73.51999999999998,20,0.34220529632253904,19,0.28633113880247096
static,20262641,0.98,1,0.0,62.72000000000004,162.72000000000003,0,0.6900483596861261,0,0.020268331810091408
single_rollback,20262641,0.315,1,117.5,20.159999999999993,237.66,47,0.43888176869414414,46,0.2924757260058153
random_e8,20262641,0.31125,1,60.0,19.92,179.92000000000002,24,0.35469357375513616,21,0.2554473190823858
ghost_e8,20262641,0.40375,0,62.5,25.839999999999986,88.33999999999999,25,0.34871231462949764,24,0.2878939595200654
ghost_d8,20262641,0.3275,0,55.0,20.959999999999994,75.96,22,0.3267359123917368,21,0.2773403195679333
ghost_random,20262641,0.3425,0,52.5,21.91999999999998,74.41999999999999,21,0.32285737007746784,20,0.276356316899278
static,20262742,0.9675,1,0.0,61.920000000000044,161.92000000000004,0,0.6875726097736478,0,0.029134338492700952
single_rollback,20262742,0.29,0,95.0,18.56,113.56,38,0.4262641308020909,37,0.2857152066561908
random_e8,20262742,0.25625,0,57.5,16.400000000000006,73.9,23,0.32831810529038824,21,0.23841459903277717
ghost_e8,20262742,0.34,0,52.5,21.75999999999999,74.25999999999999,21,0.3296709685977436,19,0.28016415400573247
ghost_d8,20262742,0.34125,0,42.5,21.839999999999993,64.33999999999999,17,0.3339348503837105,12,0.2753041562409905
ghost_random,20262742,0.3325,0,52.5,21.27999999999999,73.77999999999999,21,0.31730472161918305,20,0.2692160423290205
static,20262843,0.98375,1,0.0,62.96000000000004,162.96000000000004,0,0.6916977850389334,0,0.01223201051055389
single_rollback,20262843,0.3075,0,120.0,19.679999999999993,139.68,48,0.43325478859955874,47,0.27861872646783015
random_e8,20262843,0.295,1,57.5,18.88,176.38,23,0.3551450276722955,22,0.2620389516754803
ghost_e8,20262843,0.3075,0,52.5,19.679999999999996,72.17999999999999,21,0.285396530183166,17,0.22018754824739076
ghost_d8,20262843,0.27,0,47.5,17.279999999999998,64.78,19,0.26365188600847456,15,0.2183002133978536
ghost_random,20262843,0.33125,0,52.5,21.19999999999999,73.69999999999999,21,0.3222026570447076,20,0.27162004290074615
static,20262944,0.9975,1,0.0,63.840000000000046,163.84000000000003,0,0.6966953143071052,0,0.006733010865391467
single_rollback,20262944,0.315,0,122.5,20.15999999999999,142.66,49,0.4391186586288608,48,0.28566453130349917
random_e8,20262944,0.27875,0,62.5,17.840000000000003,80.34,25,0.32356121586651115,24,0.23284784373873899
ghost_e8,20262944,0.3475,1,52.5,22.240000000000002,174.74,21,0.3182397018964342,20,0.2764058301384894
ghost_d8,20262944,0.29625,0,50.0,18.96,68.96000000000001,20,0.30987931432874377,18,0.2556070949159726
ghost_random,20262944,0.35375,1,52.5,22.63999999999999,175.14,21,0.33627700824228013,19,0.297657502639642
static,20263045,0.9825,1,0.0,62.880000000000045,162.88000000000005,0,0.6886807876592071,0,0.01271605984992753
single_rollback,20263045,0.3075,0,122.5,19.68,142.18,49,0.42874530887880496,48,0.2700334025494128
random_e8,20263045,0.28625,0,62.5,18.320000000000004,80.82000000000001,25,0.3478114936335473,23,0.24630915621497707
ghost_e8,20263045,0.34625,0,55.0,22.160000000000004,77.16,22,0.3199771971004879,20,0.2740752610129826
ghost_d8,20263045,0.3475,0,52.5,22.239999999999984,74.73999999999998,21,0.33025196831673914,18,0.2681425229751985
ghost_random,20263045,0.34625,0,57.5,22.159999999999997,79.66,23,0.3190252596083122,21,0.26545334219155103
static,20263146,0.96125,1,0.0,61.520000000000046,161.52000000000004,0,0.6840765801379584,0,0.021461236089263112
single_rollback,20263146,0.29125,0,97.5,18.639999999999997,116.14,39,0.4234713072502472,38,0.2700243583636545
random_e8,20263146,0.2675,0,62.5,17.120000000000008,79.62,25,0.3438783753394833,24,0.25392658842049054
ghost_e8,20263146,0.2975,1,47.5,19.040000000000006,166.54000000000002,19,0.2894627057980779,18,0.24265161206815755
ghost_d8,20263146,0.31375,0,47.5,20.079999999999984,67.57999999999998,19,0.32703227897285214,16,0.2740277754317714
ghost_random,20263146,0.31125,0,45.0,19.919999999999998,64.92,18,0.3009501888092623,15,0.2547021512605509
static,20263247,0.9675,1,0.0,61.920000000000044,161.92000000000004,0,0.6884598983251773,0,0.025083041240734766
single_rollback,20263247,0.27875,1,107.5,17.84,225.34,43,0.41548400753133785,42,0.2643911306532173
random_e8,20263247,0.275,0,62.5,17.60000000000001,80.10000000000001,25,0.3502609553546293,24,0.24729961491942884
ghost_e8,20263247,0.29875,0,45.0,19.119999999999997,64.12,18,0.2906557962995829,16,0.24313800879117792
ghost_d8,20263247,0.30375,0,45.0,19.43999999999999,64.44,18,0.31918647596330707,15,0.2635909949090843
ghost_random,20263247,0.31125,0,52.5,19.919999999999987,72.41999999999999,21,0.3120616611845324,19,0.26142871373124643
static,20263348,0.97875,1,0.0,62.64000000000004,162.64000000000004,0,0.6910382461994026,0,0.020191794346391748
single_rollback,20263348,0.3,0,107.5,19.19999999999999,126.69999999999999,43,0.43244550190155834,42,0.2903167946407389
random_e8,20263348,0.29,0,65.0,18.560000000000002,83.56,26,0.36172765134753493,25,0.2691871395010839
ghost_e8,20263348,0.3325,0,50.0,21.27999999999999,71.27999999999999,20,0.3218283156008434,18,0.26712086034593585
ghost_d8,20263348,0.31125,0,52.5,19.91999999999999,72.41999999999999,21,0.3134160308710636,19,0.26034903934653847
ghost_random,20263348,0.36,0,60.0,23.03999999999999,83.03999999999999,24,0.33400442909718014,23,0.28152931228882166
static,20263449,0.98,1,0.0,62.72000000000004,162.72000000000003,0,0.6929586303046998,0,0.022425730090405226
single_rollback,20263449,0.31125,0,110.0,19.919999999999995,129.92,44,0.4381425580073672,43,0.2882859759834754
random_e8,20263449,0.3325,0,75.0,21.279999999999998,96.28,30,0.37668686925455835,29,0.2705286628753036
ghost_e8,20263449,0.3,0,45.0,19.200000000000006,64.2,18,0.30193126826100214,16,0.24895249260298777
ghost_d8,20263449,0.3125,0,50.0,20.0,70.0,20,0.3047721931571186,18,0.26292065347559107
ghost_random,20263449,0.29625,0,47.5,18.959999999999997,66.46,19,0.2881694529058277,17,0.2429917591013996
static,20263550,0.98375,1,0.0,62.96000000000004,162.96000000000004,0,0.6892904573022036,0,0.016118709824778744
single_rollback,20263550,0.295,0,102.5,18.879999999999995,121.38,41,0.42228187655226046,40,0.27323995781607324
random_e8,20263550,0.315,0,70.0,20.15999999999999,90.16,28,0.3773076949650246,27,0.2681471398569851
ghost_e8,20263550,0.35875,0,52.5,22.959999999999987,75.45999999999998,21,0.3361979298743714,19,0.29564342298181645
ghost_d8,20263550,0.31,1,47.5,19.84,167.34,19,0.31086314105206975,14,0.2564001672458909
ghost_random,20263550,0.35625,0,55.0,22.79999999999998,77.79999999999998,22,0.3458972746359958,20,0.29157522275252307
static,20263651,0.9675,1,0.0,61.920000000000044,161.92000000000004,0,0.687365620314685,0,0.03329769775338054
single_rollback,20263651,0.3,0,112.5,19.199999999999992,131.7,45,0.428870796954218,44,0.28305086984915057
random_e8,20263651,0.28125,0,65.0,18.000000000000004,83.0,26,0.35407440451108735,25,0.2508721944666238
ghost_e8,20263651,0.3125,1,50.0,20.0,170.0,20,0.3110472204148079,17,0.26806981782397993
ghost_d8,20263651,0.325,0,55.0,20.8,75.8,22,0.32453971587107433,19,0.27045722110058196
ghost_random,20263651,0.34875,0,52.5,22.32,74.82,21,0.33095906206255876,20,0.2768343955302139
static,20263752,0.9825,1,0.0,62.880000000000045,162.88000000000005,0,0.6918516998269219,0,0.01932316112889634
single_rollback,20263752,0.295,1,112.5,18.879999999999995,231.38,45,0.4256174707096008,44,0.2781317188788321
random_e8,20263752,0.26,1,62.5,16.640000000000008,179.14000000000001,25,0.3347789685069577,24,0.25192871819922447
ghost_e8,20263752,0.3025,1,47.5,19.359999999999996,166.86,19,0.299731208091104,15,0.2530661524661239
ghost_d8,20263752,0.29625,1,50.0,18.959999999999994,168.95999999999998,20,0.30788981789414593,17,0.2538643870466865
ghost_random,20263752,0.30875,1,50.0,19.759999999999994,169.76,20,0.30147335434917727,19,0.26548775803781344
static,20263853,0.9925,1,0.0,63.520000000000046,163.52000000000004,0,0.6948120102400682,0,0.008772846982743474
single_rollback,20263853,0.2975,0,110.0,19.040000000000003,129.04,44,0.4311431102920153,43,0.2883524513862653
random_e8,20263853,0.2875,0,57.5,18.400000000000006,75.9,23,0.34076011159337843,22,0.25585096096748927
ghost_e8,20263853,0.30875,1,42.5,19.759999999999998,162.26,17,0.3050738322649316,15,0.26003426540370994
ghost_d8,20263853,0.32625,1,45.0,20.879999999999992,165.88,18,0.32184419173817813,15,0.2685093522783592
ghost_random,20263853,0.31875,0,47.5,20.39999999999999,67.89999999999999,19,0.3048471704534975,16,0.2505674340769548
static,20263954,0.97375,1,0.0,62.32000000000004,162.32000000000005,0,0.6913460434167155,0,0.024752951837612707
single_rollback,20263954,0.27375,0,105.0,17.520000000000007,122.52000000000001,42,0.4152506489532643,41,0.2715779285829623
random_e8,20263954,0.27875,0,57.5,17.840000000000003,75.34,23,0.33822919545866353,20,0.24905223292013012
ghost_e8,20263954,0.305,1,47.5,19.520000000000003,167.02,19,0.30414139506353755,18,0.26296742504119225
ghost_d8,20263954,0.285,0,45.0,18.240000000000002,63.24,18,0.2936318829973763,17,0.24549141313871153
ghost_random,20263954,0.32,0,52.5,20.47999999999998,72.97999999999998,21,0.3082460205447879,19,0.2502745432533163
static,20264055,0.97875,1,0.0,62.64000000000004,162.64000000000004,0,0.6897608700701845,0,0.010455470976101357
single_rollback,20264055,0.31,0,120.0,19.839999999999993,139.84,48,0.43449987623376446,47,0.27332759925844635
random_e8,20264055,0.2875,0,60.0,18.4,78.4,24,0.360360821137074,22,0.26257748061026737
ghost_e8,20264055,0.3525,1,50.0,22.559999999999985,172.56,20,0.3271535176567653,17,0.2774800685598595
ghost_d8,20264055,0.29375,0,50.0,18.799999999999997,68.8,20,0.30092874915390605,17,0.25741621018832495
ghost_random,20264055,0.34375,1,50.0,21.999999999999996,172.0,20,0.3284885318621724,19,0.27664235698650363
static,20264156,0.9825,0,0.0,62.880000000000045,62.880000000000045,0,0.6926541897159865,0,0.019145885619094555
single_rollback,20264156,0.295,1,117.5,18.880000000000003,236.38,47,0.423243182388997,46,0.2682435821162022
random_e8,20264156,0.2775,0,65.0,17.759999999999998,82.75999999999999,26,0.3442827883699049,25,0.2581194223322249
ghost_e8,20264156,0.2825,0,47.5,18.080000000000002,65.58,19,0.2813148176598476,17,0.22403478161856044
ghost_d8,20264156,0.2975,0,47.5,19.039999999999992,66.53999999999999,19,0.2950286248240768,17,0.22148369409873964
ghost_random,20264156,0.32875,0,52.5,21.039999999999996,73.53999999999999,21,0.3140003880198718,19,0.27069343177824334
static,20264257,0.9925,1,0.0,63.520000000000046,163.52000000000004,0,0.6963217256714652,0,0.011356883086329697
single_rollback,20264257,0.29,1,112.5,18.56,231.06,45,0.4245891051172159,44,0.2761912461575961
random_e8,20264257,0.23,0,52.5,14.72000000000001,67.22000000000001,21,0.32630887101039574,18,0.22282662417912152
ghost_e8,20264257,0.3075,0,47.5,19.68,67.18,19,0.2910437279704792,15,0.23151664008873332
ghost_d8,20264257,0.3,1,47.5,19.2,166.7,19,0.30779484684415565,15,0.2528727957493901
ghost_random,20264257,0.3225,1,52.5,20.63999999999999,173.14,21,0.30928880486083654,20,0.26408688452561685
static,20264358,0.96625,1,0.0,61.840000000000046,161.84000000000003,0,0.6856635495349276,0,0.030590599815632596
single_rollback,20264358,0.29,0,102.5,18.56,121.06,41,0.4209837957635505,40,0.27643223277237644
random_e8,20264358,0.285,0,57.5,18.24,75.74,23,0.34813266286191047,21,0.2578021150847736
ghost_e8,20264358,0.345,0,52.5,22.079999999999988,74.57999999999998,21,0.3257984752480143,20,0.27816748725233437
ghost_d8,20264358,0.32,0,47.5,20.479999999999983,67.97999999999999,19,0.32297242198252635,15,0.2701798706336579
ghost_random,20264358,0.33875,1,47.5,21.679999999999993,169.18,19,0.32227390793104105,15,0.2681568653587416
static,20264459,0.9825,1,0.0,62.880000000000045,162.88000000000005,0,0.6927987371694333,0,0.019008913791278958
single_rollback,20264459,0.33875,0,125.0,21.679999999999996,146.68,50,0.45298489009053694,49,0.2939657554906033
random_e8,20264459,0.2725,1,65.0,17.440000000000005,182.44,26,0.3330055173886393,24,0.237096587519835
ghost_e8,20264459,0.345,1,60.0,22.07999999999999,182.07999999999998,24,0.31537224042821965,23,0.2657573290736537
ghost_d8,20264459,0.34625,0,52.5,22.159999999999993,74.66,21,0.3206250679713649,18,0.2643469424830122
ghost_random,20264459,0.32375,0,52.5,20.71999999999999,73.22,21,0.31323341787293246,18,0.2727440189594215
static,20264560,0.9775,1,0.0,62.560000000000045,162.56000000000006,0,0.6907788590242808,0,0.01727866687730812
single_rollback,20264560,0.29,0,105.0,18.56,123.56,42,0.424011463914557,41,0.27375991936160565
random_e8,20264560,0.27125,1,57.5,17.360000000000007,174.86,23,0.3440057260155367,22,0.24022667245442336
ghost_e8,20264560,0.31625,1,47.5,20.23999999999999,167.74,19,0.30734728708380943,17,0.2567437324421688
ghost_d8,20264560,0.30875,0,45.0,19.759999999999987,64.75999999999999,18,0.3222074756607355,17,0.2704628671263459
ghost_random,20264560,0.30875,1,40.0,19.75999999999999,159.76,16,0.3116926634310384,13,0.2606570564022222
static,20264661,0.98375,1,0.0,62.96000000000004,162.96000000000004,0,0.6921559109045765,0,0.016751217671955854
single_rollback,20264661,0.2775,1,102.5,17.759999999999998,220.26,41,0.40886533933834296,40,0.24963147337000632
random_e8,20264661,0.30375,1,67.5,19.44,186.94,27,0.3628683476639674,26,0.26624917814548377
ghost_e8,20264661,0.33625,1,57.5,21.519999999999996,179.01999999999998,23,0.3105941207754999,22,0.2610745297107415
ghost_d8,20264661,0.34125,1,55.0,21.83999999999999,176.83999999999997,22,0.32183098873730065,21,0.2642844252979408
ghost_random,20264661,0.39125,1,55.0,25.039999999999978,180.03999999999996,22,0.3582026516986836,21,0.30717704095186227
static,21260722,0.95375,1,0.0,61.04000000000004,161.04000000000005,0,0.6844573494990823,0,0.04477988952986479
single_rollback,21260722,0.31,1,107.5,19.839999999999993,227.33999999999997,43,0.4384820035565598,42,0.2985454451468504
random_e8,21260722,0.28375,0,65.0,18.16,83.16,26,0.3536651797681308,24,0.2598697577118271
ghost_e8,21260722,0.34875,0,52.5,22.31999999999999,74.82,21,0.3216287123038798,20,0.27245627132433947
ghost_d8,21260722,0.28375,0,45.0,18.159999999999993,63.16,18,0.2876025319352843,15,0.23682115122909742
ghost_random,21260722,0.335,0,52.5,21.43999999999999,73.94,21,0.32828337675495417,20,0.28620992128557227
static,21260823,0.9625,1,0.0,61.600000000000044,161.60000000000005,0,0.6842548178967099,0,0.032247971792015113
single_rollback,21260823,0.3075,1,110.0,19.68,229.68,44,0.4305391475624964,43,0.2781211586239746
random_e8,21260823,0.29,0,60.0,18.55999999999999,78.55999999999999,24,0.34549394342795803,23,0.2590928102719452
ghost_e8,21260823,0.3525,0,57.5,22.559999999999985,80.05999999999999,23,0.3293892607149111,22,0.2767160623681783
ghost_d8,21260823,0.35125,0,57.5,22.479999999999976,79.97999999999998,23,0.3365765912334624,22,0.2762539323302859
